,사업장명,지역(구)
322,에이치 앤 휘트니스,용산구
323,밸런스 핏,용산구
324,윌 피티 짐,서초구
325,스포짐옐로우 이촌점,용산구
326,킴스짐헬스크럽,용산구
327,위드짐 한남점(WITHGYM),용산구
328,센티넬 크로스핏 한남1(Sentinel CrossFit Hannam),용산구
329,동서 골프&휘트니스,용산구
330,위너핏PT스튜디오,용산구
331,스포짐,용산구
332,NEW RUN,용산구
333,짐나우 신용산점,용산구
334,FIT NOMAD,용산구
335,내셔널짐,용산구
336,모어피클,용산구
337,리콥 웰니스 프리미엄,용산구
338,나의 근육 사용설명서,성동구
339,크로스핏 아띠,성동구
340,비 스튜디오(Be studio),성동구
341,(주)프롬더바디,성동구
342,플렉스피티,서대문구
343,힐앤핏,성동구
344,더블에이피트니스,성동구
345,(주)스포티즌 엑시온점,성동구
346,운동연구소,성동구
347,핏바디짐,성동구
348,바른핏,성동구
349,건강과땀 휘트니스센타,성동구
350,인피니티 퍼스널 트레이닝,성동구
351,센트라스 투엑스 주식회사,성동구
352,D_GYM,성동구
353,커브스 금호클럽,성동구
354,테라피티,성동구
355,위드짐 금호점(WITHGYM),성동구
356,피네테스,성동구
357,허니바디 스포츠,성동구
358,메디앤핏,성동구
359,(주)넉아웃,성동구
360,AII For U GYM,성동구
361,레이 휘트니스,성동구
362,이루어짐 헬스,성동구
363,탑핏(TOPFIT),성동구
364,스타트짐,성동구
365,포유더프라이빗,마포구
366,퀸스테이지,성동구
367,BAN(반),성동구
368,피트니스 에이치(Fitness. H),성동구
369,MSC,성동구
370,에코 휘트니스,성동구
371,라온 휘트니스,성동구
372,웰트짐,성동구
373,Holy fit(홀리핏),서대문구
374,육체미공작소,영등포구
375,노블휘트니스,성동구
376,고릴라 멀티짐,성동구
377,왕십리역점 스포애니 주)케이디스포츠,성동구
378,센트리얼 휘트니스 옥수점,성동구
379,동우헬스,성동구
380,시티짐 답십리,성동구
381,포시즌 휘트니스,성동구
382,스타트 짐,성동구
383,알엑스 퍼스널 트레이닝,성동구
384,짐아서 휘트니스,성동구
385,풍림휘트니스,성동구
386,(주)옥수 투엑스 휘트니스,성동구
387,올림픽휘트니스,성동구
388,더바른몸PT,성동구
389,빅브로짐 휘트니스 성수점,성동구
390,(주)운동의 정석,성동구
391,더새로워짐,성동구
392,다조아GYM,관악구
393,브라보 PT,성동구
394,퀄핏 건강운동센터,성동구
395,성수역점 스포애니,성동구
396,ST 요가앤PT,성동구
397,리커버 필라테스 PT,성동구
398,릴리브짐,성동구
399,에이블짐 한양대점,성동구
400,오늘 운동,성동구
401,PND,성동구
402,shut up and squat,성동구
403,뉴바디필라테스&멀티트레이닝센터,성동구
404,바른피티,성동구
405,바나나짐,성동구
406,더 바디 피트니스,성동구
407,PT STUDIO RE ' ON,성동구
408,크로스핏 핏불,성동구
409,무브먼트 프로젝트,성동구
410,얼라이브짐,성동구
411,빌드업피트니스 성수역점,성동구
412,퀸 스페셜 PT,성동구
413,HOME GYM,동대문구
414,초콜렛 휘트니스(무단폐업),광진구
415,웰플러스,광진구
416,코엑스짐 중곡점,광진구
417,바디 퍼포먼스 짐,광진구
418,초콜릿 휘트니스,광진구
419,삼성남녀헬스센타,광진구
420,영광헬스피아,광진구
421,역사헬스,광진구
422,멜론짐,광진구
423,파워헬스,광진구
424,세븐짐 휘트니스,광진구
425,바디퍼포먼스 짐,광진구
426,아크로짐 구의점,광진구
427,비터스윗코리아,광진구
428,제이 퍼스널 트레이닝 스튜디오,광진구
429,역발산센터,광진구
430,휘트니스피플우먼 구의점,광진구
431,광운헬스,광진구
432,주식회사 헬스보이컴퍼니,광진구
433,바디케어짐,광진구
434,피트니스 아레나,광진구
435,JM휘트니스,광진구
436,광명 휘트니스,광진구
437,드림헬스클럽,광진구
438,휴먼짐,광진구
439,광진구민체육센터,광진구
440,동방헬스,광진구
441,바디메이트 짐,광진구
442,파워존,광진구
443,타운케이 휘트니스,광진구
444,맥스토탈휘트니스,광진구
445,SAP,광진구
446,시너지휘트니스,광진구
447,휘트니스파크,광진구
448,머슬 H 휘트니스,광진구
449,상록헬스크리닉,광진구
450,메트로헬스,광진구
451,스타일휘트니스클럽(무단폐업),광진구
452,머슬킹,광진구
453,아름다운휘트니스,광진구
454,제이피트휘트니스,광진구
455,휘트니스 트리,광진구
456,시티짐 군자,광진구
457,세종 남여헬스(무단폐업),광진구
458,화인헬스,광진구
459,몸가짐 퍼스널트레이닝,광진구
460,Choi's Body Balance,광진구
461,NX PT STUDIO,광진구
462,2MR 휘트니스,광진구
463,휘트니스 에이치투,광진구
464,휘트니스베이 24시 건대점,광진구
465,노경우 퍼스널 트레이닝,광진구
466,BODY119(바디119),광진구
467,제이바디웍스,광진구
468,나다헬스,광진구
469,커브스구의클럽,광진구
470,마크짐 휘트니스 - 강변역점,광진구
471,원모어 퍼스널트레이닝 스튜디오,광진구
472,프라임헬스클럽,광진구
473,아차산헬스클럽,광진구
474,군자휘트니스 크럽,광진구
475,순수여성헬스,광진구
476,파나마 헬스클럽,광진구
477,광진휘트니스,광진구
478,대원헬스,광진구
479,바디앤소울,광진구
480,엘리트짐,광진구
481,리버사이드 스포츠,광진구
482,용곡체육관,광진구
483,유진헬스클럽,광진구
484,더건PT,양천구
485,몸가짐 PT&필라테스,광진구
486,크로스핏 팀앤디,광진구
487,조승호 아톰 휘트니스 PT,광진구
488,Youn-A PT샵,광진구
489,동부육체미,광진구
490,휘트니스우먼,광진구
491,더테라 휘트니스,광진구
492,원모어핏,광진구
493,더블핏(Double Fit),광진구
494,스포니스,광진구
495,에프에이스포츠,광진구
496,A2GYM(에이투짐),광진구
497,스포츠컨디셔닝센터 FMETS & D.FLAB,광진구
498,퍼스트 핏(FIRST FIT),광진구
499,삼손스포츠수기명가,광진구
500,크로스핏 라온2,광진구
501,토니바디&PT 중곡점,광진구
502,스튜디오 클라라,광진구
503,브라운 휘트니스,광진구
504,르와짐,광진구
505,던전짐,광진구
506,스포니스 화양점,광진구
507,클레어 웰니스 스튜디오 건대점,광진구
